"","age","Mspline","Sspline","Lspline"
"1",6,-2.18672749117133e-05,-0.41155336731537,0
"2",6.25,-2.14663220408084e-05,-0.36652500513561,0
"3",6.5,-2.10814324219655e-05,-0.32327085897669,0
"4",6.75,-2.07225211887874e-05,-0.281924413404868,0
"5",7,-2.04012561511036e-05,-0.242681857484311,0
"6",7.25,-2.01236030061835e-05,-0.205630191072088,0
"7",7.5,-1.98841215741652e-05,-0.170731363527303,0
"8",7.75,-1.96712988280723e-05,-0.137874851417642,0
"9",8,-1.94752035440615e-05,-0.106953347894897,0
"10",8.25,-1.92837117296563e-05,-0.077842376001594,0
"11",8.5,-1.90816389586956e-05,-0.0503958898971193,0
"12",8.75,-1.88554002207297e-05,-0.0244768357449918,0
"13",9,-1.85941326442673e-05,2.65851926558591e-05,0
"14",9.25,-1.82925197886874e-05,0.0230648762624492,0
"15",9.5,-1.79491632827933e-05,0.0444893116326278,0
"16",9.75,-1.75625800959978e-05,0.064180661212807,0
"17",10,-1.71328457909681e-05,0.0820386684583573,0
"18",10.25,-1.66628932429802e-05,0.0979710684055441,0
"19",10.5,-1.61590472202988e-05,0.11188729086437,0
"20",10.75,-1.56273155216269e-05,0.123714530238975,0
"21",11,-1.50729589201148e-05,0.133397767647817,0
"22",11.25,-1.45008191729801e-05,0.140908798646256,0
"23",11.5,-1.39164218211363e-05,0.14630441979134,0
"24",11.75,-1.33250994096556e-05,0.149668380856469,0
"25",12,-1.27315592006738e-05,0.151080446046187,0
"26",12.25,-1.21399563219882e-05,0.150616622635066,0
"27",12.5,-1.15540269227665e-05,0.148353371102746,0
"28",12.75,-1.0977740130258e-05,0.144402156406588,0
"29",13,-1.04149707542689e-05,0.138887923915707,0
"30",13.25,-9.86913636324971e-06,0.13192602946487,0
"31",13.5,-9.34325893808818e-06,0.123622390714494,0
"32",13.75,-8.83999075895758e-06,0.114074869934371,0
"33",14,-8.36108379864697e-06,0.103391245868476,0
"34",14.25,-7.90631982816592e-06,0.0917229361203495,0
"35",14.5,-7.47470211237555e-06,0.0792313219355689,0
"36",14.75,-7.06541193729038e-06,0.0660599099947021,0
"37",15,-6.67773314333431e-06,0.0523396043643859,0
"38",15.25,-6.31175876186774e-06,0.0381867384172279,0
"39",15.5,-5.96538965424998e-06,0.0237167722784771,0
"40",15.75,-5.63626254290739e-06,0.00903688908744105,0
"41",16,-5.32220359872326e-06,-0.00575519428413562,0
"42",16.25,-5.02121240053555e-06,-0.0205703951093996,0
"43",16.5,-4.73144738322162e-06,-0.035327512949452,0
"44",16.75,-4.45119584746578e-06,-0.0499524746532575,0
"45",17,-4.17838757904576e-06,-0.0643756055568975,0
"46",17.25,-3.91115875153503e-06,-0.0785342810033985,0
"47",17.5,-3.64848036582544e-06,-0.0924018377523423,0
"48",17.75,-3.39004286864508e-06,-0.105993240547833,0
"49",18,-3.13560411768776e-06,-0.119325296784959,0
