"","age","Mspline","Sspline","Lspline"
"1",6,0.122215365261169,-0.375112308613399,0
"2",6.25,0.10781784636114,-0.332210949685655,0
"3",6.5,0.093985027225278,-0.291002817419049,0
"4",6.75,0.0806705874272264,-0.251711906573274,0
"5",7,0.0678283988519617,-0.214643735795158,0
"6",7.25,0.0554264983962103,-0.179957315415996,0
"7",7.5,0.0435093198974119,-0.147654392568009,0
"8",7.75,0.0321593379315424,-0.117642541097201,0
"9",8,0.0214427616242912,-0.0898278883913284,0
"10",8.25,0.0114369601104514,-0.0640388961595595,0
"11",8.5,0.00223746624695309,-0.0400145643250016,0
"12",8.75,-0.00607367736532893,-0.0175068438315362,0
"13",9,-0.0134363192705766,0.00368459798442378,0
"14",9.25,-0.01984821723841,0.0235465821877603,0
"15",9.5,-0.0253453180115955,0.0419334927416239,0
"16",9.75,-0.0299612926469521,0.0587226759981365,0
"17",10,-0.0337326861662905,0.0738198915976445,0
"18",10.25,-0.0367035868567331,0.0871597236046435,0
"19",10.5,-0.0389276413669304,0.0987042327127354,0
"20",10.75,-0.0404554415526555,0.1084286741939,0
"21",11,-0.0413332175733778,0.116318138258161,0
"22",11.25,-0.0416051439545004,0.122373222656295,0
"23",11.5,-0.0413225864442808,0.126645050887057,0
"24",11.75,-0.0405362456508609,0.129200419732197,0
"25",12,-0.0392921875589956,0.130103246440639,0
"26",12.25,-0.0376323289862288,0.129414698761904,0
"27",12.5,-0.0355972393374007,0.12719798763302,0
"28",12.75,-0.0332468013979401,0.123558437041255,0
"29",13,-0.0306477407903341,0.118618369751807,0
"30",13.25,-0.0278601645770795,0.112490166722742,0
"31",13.5,-0.0249381834700166,0.105276652475867,0
"32",13.75,-0.0219304360847605,0.0970722836176603,0
"33",14,-0.0188776399710786,0.0879735331425053,0
"34",14.25,-0.015807208364869,0.0780979229891721,0
"35",14.5,-0.0127399378289148,0.0675657695681371,0
"36",14.75,-0.00969524578062675,0.0564848747526123,0
"37",15,-0.00669128377268358,0.0449541396691253,0
"38",15.25,-0.00375186269552508,0.0330672124889584,0
"39",15.5,-0.000878008208315961,0.0209010048698506,0
"40",15.75,0.00193351233263606,0.00852411613720272,0
"41",16,0.00468573017118068,-0.00400076867566579,0
"42",16.25,0.00738149029214163,-0.0166163639387984,0
"43",16.5,0.0100234652274303,-0.0292703179351281,0
"44",16.75,0.0126143272657711,-0.0419148569878416,0
"45",17,0.0151612675576676,-0.0545082533182031,0
"46",17.25,0.0176706235458806,-0.0670125630720948,0
"47",17.5,0.0201450061848298,-0.0794041214063397,0
"48",17.75,0.0225851100519421,-0.0916769742813632,0
"49",18,0.0249914676472631,-0.103826863825168,0
